,track_id,artists,album_name,track_name,track_genre,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,id,duration,time_signature
0,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,I Love You.,Sweater Weather,alt-rock,93,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,2QjOHCTQ1Jl3zawyYOpxh6,240,4
1,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,I Love You.,Sweater Weather,alternative,93,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,2QjOHCTQ1Jl3zawyYOpxh6,240,4
2,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,I Love You.,Sweater Weather,pop,93,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,2QjOHCTQ1Jl3zawyYOpxh6,240,4
3,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,I Love You.,Sweater Weather,rock,93,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,2QjOHCTQ1Jl3zawyYOpxh6,240,4
4,73vIOb4Q7YN6HeJTbscRx5,Oliver Tree;Robin Schulz,Miss You,Miss You,alternative,87,0.587,0.742,-6.64,0.0529,0.0128,0.00107,0.146,0.199,73vIOb4Q7YN6HeJTbscRx5,206,4
5,5IgjP7X4th6nMNDh4akUHb,Chris Brown,Indigo (Extended),Under The Influence,dance,96,0.733,0.69,-5.529,0.0427,0.0635,1.18e-06,0.105,0.31,5IgjP7X4th6nMNDh4akUHb,185,4
6,5IgjP7X4th6nMNDh4akUHb,Chris Brown,Indigo (Extended),Under The Influence,pop,96,0.733,0.69,-5.529,0.0427,0.0635,1.18e-06,0.105,0.31,5IgjP7X4th6nMNDh4akUHb,185,4
7,3nqQXoyQOWXiESFLlDF1hG,Sam Smith;Kim Petras,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),dance,100,0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,3nqQXoyQOWXiESFLlDF1hG,157,4
8,3nqQXoyQOWXiESFLlDF1hG,Sam Smith;Kim Petras,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),pop,100,0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.266,0.238,3nqQXoyQOWXiESFLlDF1hG,157,4
9,4uUG5RXrOk84mYEfFvj3cK,David Guetta;Bebe Rexha,I'm Good (Blue),I'm Good (Blue),dance,98,0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,4uUG5RXrOk84mYEfFvj3cK,175,4
10,4uUG5RXrOk84mYEfFvj3cK,David Guetta;Bebe Rexha,I'm Good (Blue),I'm Good (Blue),edm,98,0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,4uUG5RXrOk84mYEfFvj3cK,175,4
11,4uUG5RXrOk84mYEfFvj3cK,David Guetta;Bebe Rexha,I'm Good (Blue),I'm Good (Blue),pop,98,0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.371,0.304,4uUG5RXrOk84mYEfFvj3cK,175,4
12,7uoFMmxln0GPXQ0AcCBXRq,Sia,Everyday Is Christmas (Deluxe Edition),Snowman,dance,78,0.716,0.512,-6.257,0.0331,0.483,0.0,0.0928,0.326,7uoFMmxln0GPXQ0AcCBXRq,166,3
13,2FRnf9qhLbvw8fu4IBXx78,Wham!,LAST CHRISTMAS,Last Christmas,disco,74,0.735,0.478,-12.472,0.0293,0.189,2.48e-06,0.355,0.947,2FRnf9qhLbvw8fu4IBXx78,263,4
14,2FRnf9qhLbvw8fu4IBXx78,Wham!,LAST CHRISTMAS,Last Christmas,synth-pop,74,0.735,0.478,-12.472,0.0293,0.189,2.48e-06,0.355,0.947,2FRnf9qhLbvw8fu4IBXx78,263,4
15,5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,AM,I Wanna Be Yours,garage,92,0.464,0.417,-9.345,0.0256,0.136,0.022,0.0974,0.479,5XeFesFbtLpXzIVDNQP22n,184,4
16,5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,AM,I Wanna Be Yours,indie,92,0.464,0.417,-9.345,0.0256,0.136,0.022,0.0974,0.479,5XeFesFbtLpXzIVDNQP22n,184,4
17,5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,AM,I Wanna Be Yours,rock,92,0.464,0.417,-9.345,0.0256,0.136,0.022,0.0974,0.479,5XeFesFbtLpXzIVDNQP22n,184,4
18,2tTmW7RDtMQtBk7m2rYeSw,Bizarrap;Quevedo,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",hip-hop,99,0.621,0.782,-5.548,0.044,0.0125,0.033,0.23,0.55,2tTmW7RDtMQtBk7m2rYeSw,199,4
19,5odlY52u43F5BjByhxg7wg,JVKE,this is what ____ feels like (Vol. 1-4),golden hour,indie-pop,81,0.515,0.593,-4.801,0.0322,0.653,0.162,0.25,0.153,5odlY52u43F5BjByhxg7wg,209,3
20,5odlY52u43F5BjByhxg7wg,JVKE,this is what ____ feels like (Vol. 1-4),golden hour,indie,81,0.515,0.593,-4.801,0.0322,0.653,0.162,0.25,0.153,5odlY52u43F5BjByhxg7wg,209,3
21,02MWAaffLxlfxAUY7c5dvx,Glass Animals,Dreamland (+ Bonus Levels),Heat Waves,indie-pop,88,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,02MWAaffLxlfxAUY7c5dvx,239,4
22,02MWAaffLxlfxAUY7c5dvx,Glass Animals,Dreamland (+ Bonus Levels),Heat Waves,indie,88,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,02MWAaffLxlfxAUY7c5dvx,239,4
23,02MWAaffLxlfxAUY7c5dvx,Glass Animals,Dreamland (+ Bonus Levels),Heat Waves,pop,88,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,02MWAaffLxlfxAUY7c5dvx,239,4
24,2uFaJJtFpPDc5Pa95XzTvg,Dean Martin,A Winter Romance,Let It Snow! Let It Snow! Let It Snow!,jazz,68,0.451,0.24,-14.014,0.0351,0.912,2.45e-06,0.175,0.701,2uFaJJtFpPDc5Pa95XzTvg,117,4
25,5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,La Bachata,latin,98,0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,5ww2BF9slyYgNOk37BlC4u,163,4
26,5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,La Bachata,latino,98,0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,5ww2BF9slyYgNOk37BlC4u,163,4
27,5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,La Bachata,reggae,98,0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,5ww2BF9slyYgNOk37BlC4u,163,4
28,5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,La Bachata,reggaeton,98,0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.218,0.85,5ww2BF9slyYgNOk37BlC4u,163,4
29,6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny;Chencho Corleone,Un Verano Sin Ti,Me Porto Bonito,latin,97,0.911,0.712,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,6Sq7ltF9Qa7SNFBsV5Cogx,179,4
30,6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny;Chencho Corleone,Un Verano Sin Ti,Me Porto Bonito,latino,97,0.911,0.712,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,6Sq7ltF9Qa7SNFBsV5Cogx,179,4
31,6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny;Chencho Corleone,Un Verano Sin Ti,Me Porto Bonito,reggae,97,0.911,0.712,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,6Sq7ltF9Qa7SNFBsV5Cogx,179,4
32,6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny;Chencho Corleone,Un Verano Sin Ti,Me Porto Bonito,reggaeton,97,0.911,0.712,-5.105,0.0817,0.0901,2.68e-05,0.0933,0.425,6Sq7ltF9Qa7SNFBsV5Cogx,179,4
33,1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Un Verano Sin Ti,Tití Me Preguntó,latin,97,0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,1IHWl5LamUGEuP4ozKQSXZ,244,4
34,1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Un Verano Sin Ti,Tití Me Preguntó,latino,97,0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,1IHWl5LamUGEuP4ozKQSXZ,244,4
35,1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Un Verano Sin Ti,Tití Me Preguntó,reggae,97,0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,1IHWl5LamUGEuP4ozKQSXZ,244,4
36,1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Un Verano Sin Ti,Tití Me Preguntó,reggaeton,97,0.65,0.715,-5.198,0.253,0.0993,0.000291,0.126,0.187,1IHWl5LamUGEuP4ozKQSXZ,244,4
37,3k3NWokhRRkEPhCzPmV8TW,Bad Bunny;Bomba Estéreo,Un Verano Sin Ti,Ojitos Lindos,latin,95,0.647,0.686,-5.745,0.0413,0.08,1.34e-06,0.528,0.268,3k3NWokhRRkEPhCzPmV8TW,258,4
38,3k3NWokhRRkEPhCzPmV8TW,Bad Bunny;Bomba Estéreo,Un Verano Sin Ti,Ojitos Lindos,latino,95,0.647,0.686,-5.745,0.0413,0.08,1.34e-06,0.528,0.268,3k3NWokhRRkEPhCzPmV8TW,258,4
39,3k3NWokhRRkEPhCzPmV8TW,Bad Bunny;Bomba Estéreo,Un Verano Sin Ti,Ojitos Lindos,reggae,94,0.647,0.686,-5.745,0.0413,0.08,1.34e-06,0.528,0.268,3k3NWokhRRkEPhCzPmV8TW,258,4
40,3k3NWokhRRkEPhCzPmV8TW,Bad Bunny;Bomba Estéreo,Un Verano Sin Ti,Ojitos Lindos,reggaeton,94,0.647,0.686,-5.745,0.0413,0.08,1.34e-06,0.528,0.268,3k3NWokhRRkEPhCzPmV8TW,258,4
41,5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Un Verano Sin Ti,Efecto,latin,96,0.801,0.475,-8.797,0.0516,0.141,1.73e-05,0.0639,0.234,5Eax0qFko2dh7Rl2lYs3bx,213,4
42,5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Un Verano Sin Ti,Efecto,latino,96,0.801,0.475,-8.797,0.0516,0.141,1.73e-05,0.0639,0.234,5Eax0qFko2dh7Rl2lYs3bx,213,4
43,5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Un Verano Sin Ti,Efecto,reggae,95,0.801,0.475,-8.797,0.0516,0.141,1.73e-05,0.0639,0.234,5Eax0qFko2dh7Rl2lYs3bx,213,4
44,5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Un Verano Sin Ti,Efecto,reggaeton,95,0.801,0.475,-8.797,0.0516,0.141,1.73e-05,0.0639,0.234,5Eax0qFko2dh7Rl2lYs3bx,213,4
45,1zsPaEkglFvxjAhrM8yhpr,Ozuna;Feid,OzuTochi,Hey Mor,latin,76,0.901,0.589,-6.713,0.289,0.00302,0.000237,0.0992,0.399,1zsPaEkglFvxjAhrM8yhpr,197,4
46,1zsPaEkglFvxjAhrM8yhpr,Ozuna;Feid,OzuTochi,Hey Mor,latino,76,0.901,0.589,-6.713,0.289,0.00302,0.000237,0.0992,0.399,1zsPaEkglFvxjAhrM8yhpr,197,4
47,1zsPaEkglFvxjAhrM8yhpr,Ozuna;Feid,OzuTochi,Hey Mor,reggae,77,0.901,0.589,-6.713,0.289,0.00302,0.000237,0.0992,0.399,1zsPaEkglFvxjAhrM8yhpr,197,4
48,1zsPaEkglFvxjAhrM8yhpr,Ozuna;Feid,OzuTochi,Hey Mor,reggaeton,77,0.901,0.589,-6.713,0.289,0.00302,0.000237,0.0992,0.399,1zsPaEkglFvxjAhrM8yhpr,197,4
49,4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",I Ain't Worried,piano,96,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,4h9wh7iOZ0GGn8QVp4RAOB,148,4
50,4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",I Ain't Worried,pop,96,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,4h9wh7iOZ0GGn8QVp4RAOB,148,4
51,4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",I Ain't Worried,rock,96,0.704,0.797,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,4h9wh7iOZ0GGn8QVp4RAOB,148,4
52,0WtM2NBVQNNJLh6scP13H8,Rema;Selena Gomez,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),pop,92,0.801,0.806,-5.206,0.0381,0.382,0.000669,0.114,0.802,0WtM2NBVQNNJLh6scP13H8,239,4
53,4Dvkj6JhhA12EX05fT7y2e,Harry Styles,Harry's House,As It Was,pop,92,0.52,0.731,-5.338,0.0557,0.342,0.00101,0.311,0.662,4Dvkj6JhhA12EX05fT7y2e,167,4
54,2EjXfH91m7f8HiJN1yQg97,Brenda Lee,Merry Christmas From Brenda Lee,Rockin' Around The Christmas Tree,rockabilly,71,0.589,0.472,-8.749,0.0502,0.614,0.0,0.505,0.898,2EjXfH91m7f8HiJN1yQg97,126,4
